market_type,assets_id,assets_short_cn_name,assets_full_cn_name,party_short_cn_name,party_short_en_name,party_full_cn_name,party_full_en_name,party_url,description,location,founding_time,listing_time,section_tags,stakeholders
数字货币,BTC.XCC,BTC,,比特币,BTC,,Bitcoin,https://bitcoin.org/,,,2008-10-31,,"区块链公链,区块链POW",
数字货币,ETH.XCC,ETH,,以太坊,ETH,,Ethereum,https://www.ethereum.org/,,,2014-07-24,,"区块链公链,区块链POW,区块链智能合约",
数字货币,USDT.XCC,USDT,,泰达币,USDT,,Tether,https://tether.to,,,2014-11-26,,区块链稳定币,
数字货币,XRP.XCC,XRP,,瑞波币,XRP,,Ripple,https://ripple.com/,,,2011-04-18,,区块链支付,
数字货币,LINK.XCC,LINK,,ChainLink,LINK,,ChainLink,https://chain.link/,,,2017-09-21,,"区块链DeFi,区块链预言机,流动性挖矿",
数字货币,BCH.XCC,BCH,,比特现金,BCH,,Bitcoin Cash,https://www.bitcoincash.org/,,,2017-07-24,,"区块链POW,区块链IFO",
数字货币,LTC.XCC,LTC,,莱特币,LTC,,Litecoin,https://litecoin.com,,,2011-11-09,,"区块链比特币山寨,区块链POW",
数字货币,BNB.XCC,BNB,,币安币,BNB,,Binance Coin,https://www.binance.com/,,,2017-07-26,,交易所平台币,
数字货币,BSV.XCC,BSV,,比特币SV,BSV,,Bitcoin SV,https://bitcoinsv.io/,,,2018-11-09,,"区块链POW,区块链IFO",
数字货币,ADA.XCC,ADA,,艾达币,ADA,,Cardano,https://www.cardano.org,,,2017-10-02,,"区块链公链,区块链智能合约",
数字货币,EOS.XCC,EOS,,柚子,EOS,,EOS,https://eos.io/,,,2017-07-02,,"区块链公链,区块链POS,区块链智能合约",
数字货币,XTZ.XCC,XTZ,,Tezos,XTZ,,Tezos,https://www.tezos.com/,,,2017-10-03,,"区块链公链,区块链智能合约",
数字货币,TRX.XCC,TRX,,波场,TRX,,TRON,https://tron.network/,,,2017-07-01,,区块链公链,
数字货币,XLM.XCC,XLM,,恒星币,XLM,,Stellar,https://www.stellar.org,,,2014-08-01,,区块链支付,
数字货币,XMR.XCC,XMR,,门罗币,XMR,,Monero,http://www.monero.cc,,,2014-04-18,,"区块链隐私,区块链POW",
数字货币,OKB.XCC,OKB,,OK币,OKB,,OKB,https://www.okex.com/,,,2018-03-01,,交易所平台币,
数字货币,NEO.XCC,NEO,,小蚁,NEO,,Neo,https://neo.org/,,,2014-06-01,,"区块链公链,区块链智能合约",
数字货币,XEM.XCC,XEM,,新经币,XEM,,NEM,http://nem.io,,,2015-04-01,,"区块链公链,区块链智能合约",
数字货币,ATOM.XCC,ATOM,,阿童木,ATOM,,Cosmos,https://cosmos.network/,,,2019-03-15,,"区块链POS,区块链跨链",
数字货币,HT.XCC,HT,,火币积分,HT,,Huobi Token,https://www.hbg.com,,,2018-01-24,,交易所平台币,
数字货币,IOTA.XCC,IOTA,,埃欧塔,IOTA,,MIOTA,https://iota.org/,,,2017-07-23,,"区块链物联网,区块链DAG",
数字货币,LEND.XCC,LEND,,Aave,LEND,,Aave,https://aave.com/,,,2017-12-01,,"区块链DeFi,流动性挖矿",
数字货币,VET.XCC,VET,,唯链,VET,,Vechain,https://www.vechain.com/,,,2017-08-18,,区块链公链,
数字货币,DASH.XCC,DASH,,达世币,DASH,,Dash,https://www.dash.org/,,,2014-01-18,,"区块链隐私,区块链POW",
数字货币,ETC.XCC,ETC,,以太经典,ETC,,Ethereum Classic,https://ethereumclassic.github.io/,,,2015-11-01,,"区块链公链,区块链POW",
数字货币,ZEC.XCC,ZEC,,大零币,ZEC,,Zcash,https://z.cash/,,,2016-10-28,,"区块链隐私,区块链POW",
数字货币,OMG.XCC,OMG,,嫩模币,OMG,,OMG Network,https://omg.network/,,,2017-06-27,,"区块链支付,区块链公链",
数字货币,MKR.XCC,MKR,,Maker,MKR,,Maker,https://makerdao.com/,,,2017-01-30,,"区块链资产交易,区块链DeFi,区块链智能合约",
数字货币,ONT.XCC,ONT,,本体,ONT,,Ontology,https://ont.io/,,,2018-02-26,,区块链公链,
数字货币,BAT.XCC,BAT,,注意力币,BAT,,Basic Attention Token,https://basicattentiontoken.org/,,,2017-05-31,,"区块链DeFi,区块链广告娱乐,流动性挖矿",
数字货币,DAI.XCC,DAI,,Dai,DAI,,Dai Stablecoin,http://www.makerdao.com/,,,2017-12-25,,"区块链稳定币,区块链DeFi",
数字货币,THETA.XCC,THETA,,Theta,THETA,,Theta,https://www.thetatoken.org/,,,2017-12-14,,区块链游戏,
数字货币,ZRX.XCC,ZRX,,0x协议,ZRX,,0x,https://0xproject.com/,,,2017-08-17,,"区块链侧链,区块链资产交易,区块链DeFi",
数字货币,DOGE.XCC,DOGE,,狗狗币,DOGE,,Dogecoin,http://dogecoin.com/,,,2013-12-12,,区块链比特币山寨,
数字货币,WAVES.XCC,WAVES,,波币,WAVES,,Waves,https://wavesplatform.com/,,,2016-05-30,,"区块链资产交易,区块链公链,区块链DeFi",
数字货币,REN.XCC,REN,,Republic Protocol,REN,,Republic Protocol,https://renproject.io/,,,2018-02-22,,"区块链DeFi,流动性挖矿",
数字货币,XUC.XCC,XUC,,雪币,XUC,,Exchange Union,https://www.exchangeunion.com/,,,2017-10-26,,区块链资产交易,
数字货币,QTUM.XCC,QTUM,,量子链,QTUM,,Qtum,https://qtum.org/,,,2017-03-16,,"区块链物联网,区块链公链,区块链POS",
数字货币,DGB.XCC,DGB,,极特币,DGB,,DigiByte,http://www.digibyte.io/,,,2014-01-14,,"区块链比特币山寨,区块链POW",
数字货币,TUSD.XCC,TUSD,,trueusd,TUSD,,TrueUSD,https://www.trusttoken.com/,,,2018-03-07,,区块链稳定币,
数字货币,ICX.XCC,ICX,,ICON,ICX,,ICON,https://icon.foundation/,,,2017-10-28,,"区块链公链,区块链智能合约",
数字货币,KNC.XCC,KNC,,kybernetwork,KNC,,Kyber Network,https://kyber.network/,,,2017-09-25,,"区块链资产交易,区块链DeFi,流动性挖矿",
数字货币,REP.XCC,REP,,augur,REP,,Augur,http://www.augur.net/,,,2016-10-04,,"区块链市场预测,区块链DeFi,区块链预言机",
数字货币,ANT.XCC,ANT,,阿拉贡,ANT,,Aragon,https://aragon.org/,,,2017-05-17,,"区块链DeFi,区块链DAO",
数字货币,LSK.XCC,LSK,,应用链,LSK,,Lisk,https://lisk.io/,,,2016-05-04,,"区块链侧链,区块链DAPP,区块链智能合约",
数字货币,LRC.XCC,LRC,,路印科技,LRC,,Loopring,https://loopring.org,,,2017-08-31,,"区块链资产交易,区块链DeFi",
数字货币,DCR.XCC,DCR,,Decred,DCR,,Decred,https://www.decred.org/,,,2016-02-01,,"区块链比特币山寨,区块链POW",
数字货币,FXC.XCC,FXC,,Flexacoin,FXC,,Flexacoin,https://flexa.co/,,,2019-03-22,,区块链支付,
数字货币,SC.XCC,SC,,云储币,SC,,Siacoin,http://sia.tech/,,,2015-07-03,,"区块链存储,区块链POW",
数字货币,BCD.XCC,BCD,,比特币钻石,BCD,,BCD,https://www.bitcoindiamond.org/,,,2017-11-16,,"区块链POW,区块链IFO",
数字货币,BTG.XCC,BTG,,比特黄金,BTG,,Bitcoin Gold,https://bitcoingold.org/,,,2017-10-24,,区块链IFO,
数字货币,DGD.XCC,DGD,,黄金代币,DGD,,DigixDAO,https://digix.global/,,,2016-03-01,,区块链稳定币,
数字货币,ZIL.XCC,ZIL,,zilliqa,ZIL,,Zilliqa,https://www.zilliqa.com/,,,2018-01-26,,区块链公链,
数字货币,ENJ.XCC,ENJ,,恩金币,ENJ,,Enjin Coin,https://enjincoin.io/,,,2017-11-02,,"区块链NFT,区块链游戏",
数字货币,MANA.XCC,MANA,,decentraland,MANA,,Decentraland,https://decentraland.org/,,,2017-09-18,,"区块链NFT,区块链游戏",
数字货币,NANO.XCC,NANO,,纳诺,NANO,,Nano,https://nano.org/en,,,2018-02-02,,区块链DAG,
数字货币,SNT.XCC,SNT,,Status,SNT,,Status,http://status.im/,,,2017-06-29,,区块链DAPP,
数字货币,GNT.XCC,GNT,,golem,GNT,,Golem,https://golem.network/,,,2016-11-11,,区块链算力,
数字货币,BTS.XCC,BTS,,比特股,BTS,,BitShares,https://bitshares.org,,,2014-07-19,,"区块链资产交易,区块链POS,区块链DeFi",
数字货币,KCS.XCC,KCS,,Kucoin,KCS,,Kucoin Shares,https://www.kucoin.com,,,2017-08-15,,交易所平台币,
数字货币,HOT.XCC,HOT,,holo,HOT,,Holo,https://holo.host/,,,2018-04-29,,区块链公链,
数字货币,SEELE.XCC,SEELE,,元一代币,SEELE,,Seele Token,http://SeeleN.pro/,,,2018-05-30,,区块链公链,
数字货币,MONA.XCC,MONA,,萌奈币,MONA,,MonaCoin,http://monacoin.org,,,2013-12-01,,区块链比特币山寨,
数字货币,RLC.XCC,RLC,,云算宝,RLC,,iExec RLC,http://iex.ec/,,,2017-04-19,,区块链算力,
数字货币,BNT.XCC,BNT,,bancor,BNT,,Bancor,https://bancor.network/,,,2017-06-13,,"区块链资产交易,区块链资产交易,区块链DeFi",
数字货币,IOST.XCC,IOST,,IOST,IOST,,IOST,http://iost.io/,,,2018-01-11,,区块链公链,
数字货币,BTM.XCC,BTM,,比原链,BTM,,Bytom,https://bytom.io/,,,2017-08-09,,"区块链资产交易,区块链公链,区块链DeFi",
数字货币,XVG.XCC,XVG,,Verge,XVG,,Verge,http://vergecurrency.com/,,,2014-10-09,,区块链隐私,
数字货币,MCO.XCC,MCO,,MCO Token,MCO,,MCO Token,https://crypto.com/,,,2017-07-04,,区块链资产交易,
数字货币,MATIC.XCC,MATIC,,Matic Token,MATIC,,Matic Token,https://matic.network/,,,2019-04-30,,区块链IEO,
数字货币,NEXO.XCC,NEXO,,Nexo,NEXO,,Nexo,https://nexo.io/,,,2018-05-01,,区块链支付,
数字货币,RVN.XCC,RVN,,Ravencoin,RVN,,Ravencoin,https://ravencoin.org/,,,2018-03-11,,"区块链比特币山寨,区块链公链,区块链POW",
数字货币,KMD.XCC,KMD,,科莫多币,KMD,,Komodo,https://komodoplatform.com/,,,2016-09-14,,"区块链资产交易,区块链隐私",
数字货币,ZEN.XCC,ZEN,,Horizen,ZEN,,Horizen,https://www.horizen.global/,,,2017-05-30,,"区块链隐私,区块链POW",
数字货币,UTK.XCC,UTK,,UTRUST,UTK,,UTRUST,https://utrust.com/,,,2017-12-30,,区块链支付,
数字货币,STORJ.XCC,STORJ,,storj,STORJ,,Storj,https://storj.io/,,,2017-07-03,,区块链存储,
数字货币,ARDR.XCC,ARDR,,阿朵币,ARDR,,Ardor,https://www.ardorplatform.org/,,,2017-01-02,,"区块链侧链,区块链POS,区块链智能合约",
数字货币,STEEM.XCC,STEEM,,斯蒂姆币,STEEM,,Steem,https://steem.io/,,,2016-03-24,,"区块链社交通讯,区块链内容版权",
数字货币,BTT.XCC,BTT,,bittorrent,BTT,,BitTorrent,https://www.bittorrent.com/,,,2019-02-01,,"区块链数据经济,区块链IEO",
数字货币,TOMO.XCC,TOMO,,TomoChain,TOMO,,TomoChain,https://tomochain.com/,,,2018-03-09,,区块链公链,
数字货币,HC.XCC,HC,,HyperCash,HC,,HyperCash,https://h.cash,,,2018-08-15,,"区块链公链,区块链POW",
数字货币,NMR.XCC,NMR,,Numeraire,NMR,,Numeraire,https://numer.ai/,,,2017-02-21,,区块链DeFi,
