title,abstract,market_type,media_source,url,publish_time,section_tags,event_tags,assets_id,sentiment,attention
中兴通讯获南向资金连续7天净买入,中兴通讯获南向资金连续7天净买入，累计净买入金额7.41亿港元，股价累计下跌0.22%。,H股,证券时报网,http://data.stcn.com/2019/0910/15384385.shtml,2020-07-06 22:38:00,通信传输设备,南向资金流入,000063.XSHE,1,2
贵州茅台冲破1600元公司市值突破2万亿元,贵州茅台股价又创新高1608元了。截至7月6日收盘，贵州茅台股价稳定在了1600元，日内涨幅达3.78%，公司市值突破2万亿元大关。贵州茅台股价从1500元冲到1600元，仅用了3个交易日。原标题：贵州茅台冲破1600元 公司市值突破2万亿元,A股,新浪财经,https://finance.sina.com.cn/roll/2020-07-07/doc-iirczymm1020351.shtml?cre=tianyi&mod=pcpager_fin&loc=17&r=9&rfunc=100&tj=none&tr=9,2020-07-07 15:10:00,白酒,市值增加,600519.XSHG,1,2
中科创达发国内首款CherryTrail T4平板,8月10日，国内著名平板品牌台电联合英特尔、微软、中科创达等业内知名企业在广州举办新品发布会，联合发布全球首款采用CherryTrail处理器的Windows10平板——X98Pro，并表示将不遗余力推动平板工具化，为高效工作助力。 本次台电联合英特尔、微软、中科创达发布的X超级板X98Pro，是业界首款采用英特尔CherryTrail处理器Windows10操作系统平板。,A股,IT168台式机,http://pad.it168.com/a2015/0812/1753/000001753956.shtml,2015-08-12 13:54:00,综合金融服务,新产品发布,300496.XSHE,1,2
优先申购中科创达道森股份中坚科技,本批10家新股申购即将开幕，由于新规取消申购预缴款，新规实行后中签率将下降50倍以上，本次作为仍使用旧规的最后两批新股之一，预计关注度较高。,A股,上海新闻网,https://www.021news.cn/show-52495-1.html,2015-11-29 11:44:56,综合金融服务,新股申购,300496.XSHE,1,2
中科创达成功登陆创业板 北极光退出中再添一枚,2015年12月10日，北极光创投投资企业——中科创达，也是IPO重启后首批发行的公司之一登陆创业板，股票代码300496。此次上市也为北极光2015年已逾十家退出中再添一枚。 中科创达成立于2008年，是移动智能终端操作系统产品和技术提供商，主营业务为移动智能终端操作系统产品的研发、销售及提供相关技术服务，技术实力出众，其科技实力与创新能力在最初即契合北极光一直专注的投资理念。,A股,中国投资咨询网,http://www.ocn.com.cn/touzi/201512/ezoid10142506.shtml,2015-12-10 14:44:00,综合金融服务,A股上市,300496.XSHE,1,2
道森股份等4只新股今上市 机构普遍看好中科创达,昨日，安记食品、邦宝益智、博敏电子、三夫户外、凯龙股份、中坚科技等6只新股上市，收盘均涨44%，触及涨幅上线。今日中科创达、道森股份、读者传媒、润欣科技等4只新股携手上市，共同接受二级市场的考验。对此，分析人士指出，尽管近期市场震荡回调明显，但昨日上市的6只新股几乎都是秒停的态势，今日即将上市的4只新股首日达到约44%的涨幅且秒停概率极大。,A股,中国网,http://finance.china.com.cn/stock/xgdt/20151210/3488335.shtml,2015-12-10 7:21:00,综合金融服务,A股上市,300496.XSHE,1,2
中科创达中签号出炉 共计45000个,中科创达12月6日晚间公布中签号，凡参与网上定价发行申购中科创达软件股份有限公司股票的投资者持有的申购配号尾数与上述号码相同的，则为中签号码。,A股,上海新闻网,https://www.021news.cn/show-57590-1.html,2015-12-06 22:17:28,综合金融服务,首发中签,300496.XSHE,1,2
中科创达今日网上申购,12月2日中科创达(300496)网上申购，公司发行价23.27元，市盈率22.99，申购上限1万股。,A股,上海新闻网,https://www.021news.cn/show-56101-1.html,2015-12-04 19:33:03,综合金融服务,新股申购,300496.XSHE,1,2
券商砸783亿元申购新股 最“中意”中科创达,IPO暂停5个月后，本周迎来了10只新股申购，A股打新盛宴正式开启。 《证券日报》记者通过对已公布网下机构询价情况的中科创达、读者传媒、道森股份、润欣科技、三夫户外、中坚科技、安记食品、邦宝益智、凯龙股份、博敏电子这10只新股进行统计发现，机构网下报价入围率很高，仅券商自营帐户及理财产品就有355个配售对象报价。 据同花顺iFinD数据统计显示，本周仅券商自营盘及理财产品申购新股动用资金783.26亿元（根据每股发行价与申购数量计算得知，下同）。,A股,中国网,http://finance.china.com.cn/stock/xgdt/20151202/3473772.shtml,2015-12-02 6:20:44,证券,机构增持,300496.XSHE,1,2
最后的暴富盛宴：中科创达是下个黑马？,[摘要]本周开始，IPO正式重启。股灾过后，A股市场沉寂数月，在本次IPO重启中挂牌的28只新股背负众望，或在本周新股开始申购后为A股市场带来新的风向。壹图供图时代周报记者汪喆发自北京本周开始，IPO正式重启。,A股,时代周报,http://www.time-weekly.com/html/20151201/31942_1.html,2015-12-01 2:44:37,基金,业绩符合预期,300496.XSHE,1,2
