tags_type,1st-level,2nd-level,3rd-level,4th-level
事件,公司事件,资质荣誉,资质获取,食药类认证许可
事件,公司事件,资质荣誉,资质获取,一般认证许可
事件,公司事件,资质荣誉,资质获取,被认定重点企业
事件,公司事件,资质荣誉,资质获取,承担重点项目
事件,公司事件,资质荣誉,资质获取,被认定重点项目
事件,公司事件,资质荣誉,资质获取,获得奖项
事件,公司事件,资质荣誉,资质风险,申请资质失败
事件,公司事件,资质荣誉,资质风险,认证许可被收回
事件,公司事件,资质荣誉,资质风险,吊销经营许可证
事件,公司事件,资质荣誉,成分调整,成份入选
事件,公司事件,资质荣誉,成分调整,成份剔除
事件,公司事件,资质荣誉,知识产权,购买品牌
事件,公司事件,资质荣誉,知识产权,商标
事件,公司事件,资质荣誉,知识产权,专利授权
事件,公司事件,资质荣誉,知识产权,品牌授权
事件,公司事件,资质荣誉,知识产权,技术授权
事件,公司事件,资质荣誉,知识产权,授权经营
事件,公司事件,资质荣誉,知识产权,专利权终止
事件,公司事件,资质荣誉,知识产权,获得知识产权
事件,公司事件,高层异动,高管变动,CEO辞职
事件,公司事件,高层异动,高管变动,董事长辞职
事件,公司事件,高层异动,高管变动,总裁辞职
事件,公司事件,高层异动,高管变动,监事辞职
事件,公司事件,高层异动,高管变动,董事辞职
事件,公司事件,高层异动,高管变动,董秘辞职
事件,公司事件,高层异动,高管变动,高管辞职
事件,公司事件,高层异动,高管变动,高层违法违规
事件,公司事件,高层异动,高管变动,实控人投资失败
事件,公司事件,高层异动,高管变动,实控人变更
事件,公司事件,高层异动,高管变动,董事长变更
事件,公司事件,高层异动,高管变动,CEO变更
事件,公司事件,高层异动,高管变动,股东变更
事件,公司事件,高层异动,高管变动,总裁变更
事件,公司事件,高层异动,高管变动,换届选举
事件,公司事件,高层异动,高管变动,监事变更
事件,公司事件,高层异动,高管变动,监事连任
事件,公司事件,高层异动,高管变动,董事变更
事件,公司事件,高层异动,高管变动,董事连任
事件,公司事件,高层异动,高管变动,基金经理变更
事件,公司事件,高层异动,高管变动,董秘变更
事件,公司事件,高层异动,高管变动,董秘续聘
事件,公司事件,高层异动,高管变动,高管变更
事件,公司事件,高层异动,高管变动,高管续聘
事件,公司事件,高层异动,高管变动,高层内斗
事件,公司事件,高层异动,高层人身安全,高层出逃
事件,公司事件,高层异动,高层人身安全,高层自杀
事件,公司事件,高层异动,高层人身安全,高层死亡
事件,公司事件,高层异动,高层家务,高层婚姻危机
事件,公司事件,股权资产,吸收投资,投资者说明会
事件,公司事件,股权资产,吸收投资,引入战略投资者
事件,公司事件,股权资产,股份增持,举牌
事件,公司事件,股权资产,股份增持,机构增持
事件,公司事件,股权资产,股份增持,国资委入股
事件,公司事件,股权资产,股份增持,巨头入股
事件,公司事件,股权资产,股份增持,大户增持
事件,公司事件,股权资产,股份增持,股东增持
事件,公司事件,股权资产,股份增持,高管增持
事件,公司事件,股权资产,股份增持,员工跟投
事件,公司事件,股权资产,股份增持,承诺不减持
事件,公司事件,股权资产,股份增持,外资增持
事件,公司事件,股权资产,股份减持,股东减持
事件,公司事件,股权资产,股份减持,高管减持
事件,公司事件,股权资产,股份减持,机构减持
事件,公司事件,股权资产,股份减持,筹划减持
事件,公司事件,股权资产,股份减持,股东减持
事件,公司事件,股权资产,股份减持,高管减持
事件,公司事件,股权资产,股份质押,股东股权质押
事件,公司事件,股权资产,股份质押,公司股权质押
事件,公司事件,股权资产,股份质押,实际控制人质押股权
事件,公司事件,股权资产,股份质押,解除质押
事件,公司事件,股权资产,其他增持,增持债券
事件,公司事件,股权资产,其他增持,增持国债
事件,公司事件,股权资产,其他增持,增持可转债
事件,公司事件,股权资产,其他增持,增持地方债
事件,公司事件,股权资产,其他减持,平仓风险
事件,公司事件,股权资产,其他减持,减持债券
事件,公司事件,股权资产,其他减持,减持国债
事件,公司事件,股权资产,其他减持,减持可转债
事件,公司事件,股权资产,其他减持,减持地方债
事件,公司事件,股权资产,权益变动事项,买卖股份
事件,公司事件,股权资产,权益变动事项,权益变动
事件,公司事件,股权资产,权益变动事项,简式权益
事件,公司事件,股权资产,权益变动事项,股东过户
