tags_type,1st-level,2nd-level,3rd-level,4th-level
根标签,因子,,,
因子,因子事件,财务面因子事件,市盈率,市盈率小于0
因子,因子事件,财务面因子事件,市盈率,市盈率0～25
因子,因子事件,财务面因子事件,市盈率,市盈率大于25
因子,因子事件,财务面因子事件,市盈率,市盈率25～50
因子,因子事件,财务面因子事件,市盈率,市盈率大于50
因子,因子事件,财务面因子事件,市净率,市净率0～1
因子,因子事件,财务面因子事件,市净率,市净率1～2
因子,因子事件,财务面因子事件,市净率,市净率大于2
因子,因子事件,财务面因子事件,市净率,市净率2～5
因子,因子事件,财务面因子事件,市净率,市净率大于5
因子,因子事件,财务面因子事件,净利润增长率,净利润增长率大于0
因子,因子事件,财务面因子事件,净利润增长率,净利润增长率小于0
因子,因子事件,财务面因子事件,净利润增长率,净利润增长率0～100%
因子,因子事件,财务面因子事件,净利润增长率,净利润增长率大于100%
因子,因子事件,财务面因子事件,净利润增长率,净利润增长率大于500%
因子,因子事件,财务面因子事件,净利润增长率,净利润增长率100%～500%
因子,因子事件,财务面因子事件,营业收入增长率,营业收入增长率大于0
因子,因子事件,财务面因子事件,营业收入增长率,营业收入增长率小于0
因子,因子事件,财务面因子事件,营业收入增长率,营业收入增长率0～100%
因子,因子事件,财务面因子事件,营业收入增长率,营业收入增长率大于100%
因子,因子事件,财务面因子事件,营业收入增长率,营业收入增长率大于500%
因子,因子事件,财务面因子事件,营业收入增长率,营业收入增长率100%～500%
因子,因子事件,财务面因子事件,销售毛利率,销售毛利率小于20%
因子,因子事件,财务面因子事件,销售毛利率,销售毛利率20%～50%
因子,因子事件,财务面因子事件,销售毛利率,销售毛利率50%～70%
因子,因子事件,财务面因子事件,销售毛利率,销售毛利率大于50%
因子,因子事件,财务面因子事件,销售毛利率,销售毛利率大于70%
因子,因子事件,行情面因子事件,成交量,成交量小于100万
因子,因子事件,行情面因子事件,成交量,成交量大于100万
因子,因子事件,行情面因子事件,成交量,成交量100万～300万
因子,因子事件,行情面因子事件,成交量,成交量300万～500万
因子,因子事件,行情面因子事件,成交量,成交量大于500万
因子,因子事件,行情面因子事件,成交量,成交量大增
因子,因子事件,行情面因子事件,成交量,成交量萎缩
因子,因子事件,行情面因子事件,成交量,成交量大于20日成交均量*5
因子,因子事件,行情面因子事件,成交量,成交量小于20日成交均量*0.3
因子,因子事件,行情面因子事件,量比,量比大于5
因子,因子事件,行情面因子事件,量比,量比小于1
因子,因子事件,行情面因子事件,量比,量比1～3
