market_type,assets_id,assets_short_cn_name,assets_full_cn_name,party_short_cn_name,party_short_en_name,party_full_cn_name,party_full_en_name,party_url,description,location,founding_time,listing_time,section_tags,stakeholders
H股,00001.XHKG,长和,长和,长和,CKH HOLDINGS,长江和记实业有限公司,CK Hutchison Holdings Ltd.,www.ckh.com.hk,长江和记实业有限公司是一家主要从事零售业的投资控股公司。公司及其子公司通过五大分部运营：零售分部，电讯分部，基建分部，港口及相关服务分部，赫斯基能源分部。零售分部从事销售保健及美容产品、消费电子及电器产品。此外，该部门还经营超级市场，制造及分销瓶装水与饮品。电讯分部通过欧洲3集团，和记电讯香港，和记电讯亚洲从事提供流动电讯与数据服务。基建分部从事能源基建、运输基建、水务基建、废物处理、废物转化能源及基建相关业务。,香港皇后大道中2号长江集团中心48楼,2014-12-11,2015-03-18,综合企业,,
H股,00002.XHKG,中电,中电控股,中电控股,CLP HOLDINGS,中电控股有限公司,CLP Holdings Limited,www.clpgroup.com,中电控股有限公司是一家主要从事发电及供电的投资控股公司。公司运营发电组合，涵盖燃煤、燃气、核电、风电、水电及太阳能。该公司的业务还包括输配电和电力及燃气之零售业务。公司及其子公司主要运营五大分部：香港分部，澳洲分部，印度分部，中国内地分部，以及东南亚及台湾分部。香港分部经营受规管的纵向式综合电力业务，其从事发电以及输配电。,香港九龙红磡海逸道8号,1997-10-24,1980-01-02,公用事业,,
H股,00003.XHKG,香港中华煤气,香港中华煤气,香港中华煤气,HK & CHINA GAS,香港中华煤气有限公司,Hong Kong And China Gas Company Limited,http://www.towngas.com,香港中华煤气有限公司是一家主要从事生产、输送与销售燃气、以及供水的公司。该公司通过四大分部运营：燃气、水务及相关之业务分部，新能源分部，地产业务分部，以及其他分部。燃气、水务及相关之业务分部包括内地公用事业业务，香港燃气业务在内的燃气、水务及相关之业务。内地公用事业业务包括城市燃气业务，建设天然气管线和天然气储气库，供水与污水处理。此外，其还制造和销售家用炉具、橱柜和家品。香港燃气业务包括向住宅及商业市场生产、输送和销售燃气。,香港北角渣华道363号23楼,1862-12-31,1960-04-11,公用事业,,
H股,00004.XHKG,九龙仓,九龙仓集团,九龙仓集团,WHARF HOLDINGS,九龙仓集团有限公司,The Wharf (Holdings) Limited,http://www.wharfholdings.com,九龙仓集团有限公司是一家主要从事房地产开发的投资控股公司。该公司通过四个分部经营其业务。发展物业分部从事物业的收购、发展、设计、兴建、销售及推销。投资物业分部从事商场、办公及写字楼及服务式住宅的租赁。酒店分部从事酒店营运。物流分部从事货柜码头业务和航空货运业务。,香港九龙广东道海港城海洋中心16楼,1886-11-15,1921-01-01,地产,,
H股,00005.XHKG,汇丰,汇丰控股,汇丰控股,HSBC HOLDINGS,汇丰控股有限公司,HSBC Holdings plc,www.hsbc.com,"滙丰控股有限公司(HSBC)是一家银行和金融服务公司。该公司通过零售银行与财富管理(RBWM)、商业银行(CMB)、环球银行与市场(GB&M)以及全球私人银行(GPB)四个业务部门管理其产品与服务。该公司在欧洲、亚洲、中东和北非、北美和拉丁美洲等不同地区开展业务。RBWM业务部门提供零售银行、财富管理、资产管理和保险服务。CBM服务部门包括营运资金、定期贷款、支付服务和国际贸易便利化等服务,以及提供并购和进入金融市场的专业知识。GB&M部门向世界各地的政府、企业和机构客户提供支持服务。GPB部门的产品和服务包括投资管理、私人财富解决方案和一系列私人银行服务。",香港中环皇后大道中1号,1959-01-01,1980-01-02,银行,,
H股,00006.XHKG,电能实业,电能实业,电能实业,POWER ASSETS,电能实业有限公司,Power Assets Holdings Limited,http://www.powerassets.com,电能实业有限公司是一家主要从事投资能源及公用事业相关业务的投资控股公司。公司及其子公司通过三大分部运营。投资分部从事投资能源及公用事业相关业务。投资于港灯电力投资分部从事投资于香港的生产及供应电力业务。所有其他活动分部从事该公司经营的其他业务。该公司的业务范围包括火力及可再生能源发电，输电和输油，配电及配气。该公司在国内市场和英国、澳洲、新西兰、泰国、荷兰、葡萄牙和加拿大等海外市场经营业务。,香港皇后大道中2号长江集团中心20楼2005室,1976-04-09,1976-08-16,公用事业,,
H股,00007.XHKG,香港金融,香港金融集团,香港金融集团,HK FINANCE INV,香港金融投资控股集团有限公司,Hong Kong Finance Investment Holding Group Limited,www.hkfihg.com,"香港金融投资控股集团有限公司(原名:凯富能源集团有限公司)是一家主要从事销售天然资源及石化产品的投资控股公司。公司及其子公司通过四大分部运营。贸易业务分部从事销售天然资源及石化产品。金融业务分部从事提供金融服务,包括股票经纪、期货及期权经纪、互惠基金、保险挂钩投资计划及提供企业融资服务及移民顾问服务,以及证券孖展融资。物业投资分部从事出租商业楼,车位及库房。油气业务分部从事石油及天然气勘探及生产。",香港上环干诺道中168-200号信德中心招商局大厦19楼1910-12室,,2000-09-08,一般金属及矿石,,
H股,00008.XHKG,电讯盈科,电讯盈科,电讯盈科,PCCW,电讯盈科有限公司,PCCW Limited,http://www.pccw.com,电讯盈科有限公司（PCCW）是一间投资控股公司。该公司的“太平洋世纪溢价发展”（PCPD）专注于印度尼西亚，日本和泰国的发展项目。该公司业务部门包括香港有限公司，媒体业务，解决方案业务，PCPD及其他业务。该公司从事提供电信及相关服务，包括本地电话，本地数据和宽带，国际电信，手机等电信业务，如客户端设备销售; 在香港特别行政区和世界其他地区提供付费电视（付费电视）服务，互联网门户数字媒体娱乐平台; 投资和开发系统集成，网络工程和技术相关业务，以及物业和基础设施项目的开发和管理以及物业投资。,香港鰂鱼涌英皇道979号太古坊电讯盈科中心41楼,1979-04-24,1994-10-18,电讯,,
H股,00009.XHKG,金奥,金奥国际,金奥国际,KEYNE LTD,金奥国际股份有限公司,KEYNE LTD,http://www.keyneltd.com,"金奥国际股份有限公司(原名:九号运通有限公司)是一家主要从事建造酒店及住宅的投资控股公司。连同其附属公司,该公司通过五个分部运营业务。物业及酒店发展分部从事酒店、独栋及联排住宅建造。该分部亦从事园境设计及道路修建等工程。物业租务分部从事商业中心租赁。电影发行及授权使用分部从事电影发行业务。电影菲林冲印分部从事电影菲林冲印业务。集中供热分部从事集中供热及配送。",香港铜锣湾希慎道33号利园一期41楼4101室,2001-05-09,2001-09-12,地产,,
H股,00010.XHKG,恒隆,恒隆集团,恒隆集团,HANG LUNG GROUP,恒隆集团有限公司,Hang Lung Group Ltd.,http://www.hanglunggroup.com,恒隆集团有限公司是一家主要从事物业租赁业务的投资控股公司。该公司通过两个分部经营业务。物业租赁分部从事物业租赁业务。该公司的投资物业组合包括主要位于中国大陆和香港的商铺、写字楼、住宅、服务式公寓和停车场。物业销售分部在中国大陆和香港从事物业的发展和销售。,香港中环德辅道中4号渣打银行大厦28楼,1960-09-13,1972-10-12,地产,,
