market_type,index_id,index_short_name,index_full_name,publish_time,publish_corps,section_tags,stakeholders
A股指数,850111.ZICN,申万种子生产,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,种子生产,
A股指数,850112.ZICN,申万粮食种植,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,粮食种植,
A股指数,850113.ZICN,申万其他种植业,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,其他种植业,
A股指数,850121.ZICN,申万海洋捕捞,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,海洋捕捞,
A股指数,850122.ZICN,申万水产养殖,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,水产养殖,
A股指数,850131.ZICN,申万林业Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,林业,
A股指数,850141.ZICN,申万饲料Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,饲料,
A股指数,850151.ZICN,申万果蔬加工,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,果蔬加工,
A股指数,850152.ZICN,申万粮油加工,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,粮油加工,
A股指数,850154.ZICN,申万其他农产品加工,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,其他农产品加工,
A股指数,850161.ZICN,申万农业综合Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,农业综合,
A股指数,850171.ZICN,申万畜禽养殖Ⅲ,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,畜禽养殖,
A股指数,850181.ZICN,申万动物保健Ⅲ,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,动物保健,
A股指数,850211.ZICN,申万石油开采Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,石油开采,
A股指数,850221.ZICN,申万煤炭开采Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,煤炭开采,
A股指数,850222.ZICN,申万焦炭加工,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,焦炭加工,
A股指数,850231.ZICN,申万其他采掘Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,其他采掘,
A股指数,850241.ZICN,申万油气钻采服务,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,油气钻采服务,
A股指数,850242.ZICN,申万其他采掘服务,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,其他采掘服务,
A股指数,850311.ZICN,申万石油加工,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,石油加工,
A股指数,850312.XSHG,申万炼焦业,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,炼焦业,
A股指数,850313.ZICN,申万石油贸易,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,石油贸易,
A股指数,850321.ZICN,申万纯碱,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,纯碱,
A股指数,850322.ZICN,申万氯碱,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,氯碱,
A股指数,850323.ZICN,申万无机盐,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,无机盐,
A股指数,850324.ZICN,申万其他化学原料,申万三级行业指数,2007-07-02,上海申银万国证券研究所有限公司,其他化学原料,
A股指数,850331.ZICN,申万氮肥,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,氮肥,
A股指数,850332.ZICN,申万磷肥,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,磷肥,
A股指数,850333.ZICN,申万农药,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,农药,
A股指数,850334.ZICN,申万日用化学产品,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,日用化学产品,
A股指数,850335.ZICN,申万涂料油漆油墨制造,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,涂料油漆油墨制造,
A股指数,850336.ZICN,申万钾肥,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,钾肥,
A股指数,850337.ZICN,申万民爆用品,申万三级行业指数,2008-06-02,上海申银万国证券研究所有限公司,民爆用品,
A股指数,850338.ZICN,申万纺织化学用品,申万三级行业指数,2008-06-02,上海申银万国证券研究所有限公司,纺织化学用品,
A股指数,850339.ZICN,申万其他化学制品,申万三级行业指数,2008-06-02,上海申银万国证券研究所有限公司,其他化学制品,
A股指数,850341.ZICN,申万涤纶,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,涤纶,
A股指数,850342.ZICN,申万维纶,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,维纶,
A股指数,850343.ZICN,申万粘胶,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,粘胶,
A股指数,850344.ZICN,申万其他纤维,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,其他纤维,
A股指数,850345.ZICN,申万氨纶,申万三级行业指数,2008-06-02,上海申银万国证券研究所有限公司,氨纶,
A股指数,850351.ZICN,申万其他塑料制品,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,其他塑料制品,
A股指数,850352.ZICN,申万合成革,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,合成革,
A股指数,850353.ZICN,申万改性塑料,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,改性塑料,
A股指数,850361.ZICN,申万轮胎,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,轮胎,
A股指数,850362.ZICN,申万其他橡胶制品,申万三级行业指数,2008-06-02,上海申银万国证券研究所有限公司,其他橡胶制品,
A股指数,850363.ZICN,申万炭黑,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,炭黑,
A股指数,850371.ZICN,申万其他化工新材料Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,其他化工新材料,
A股指数,850372.ZICN,申万聚氨酯,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,聚氨酯,
A股指数,850373.ZICN,申万玻纤,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,玻纤,
A股指数,850381.ZICN,申万复合肥,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,复合肥,
A股指数,850382.ZICN,申万氟化工及制冷剂,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,氟化工及制冷剂,
A股指数,850383.ZICN,申万磷化工及磷酸盐,申万三级行业指数,2011-10-10,上海申银万国证券研究所有限公司,磷化工及磷酸盐,
