market_type,index_id,index_short_name,index_full_name,publish_time,publish_corps,section_tags,stakeholders
A股指数,000300.ZICN,沪深300,中证规模指数,2005-04-08,中证指数有限公司,沪深300,
A股指数,399908.ZICN,沪深300能源,沪深300行业指数,2007-07-02,中证指数有限公司,能源,
A股指数,399909.ZICN,沪深300材料,沪深300行业指数,2007-07-02,中证指数有限公司,原材料,
A股指数,399910.ZICN,沪深300工业,沪深300行业指数,2007-07-02,中证指数有限公司,工业,
A股指数,399911.ZICN,沪深300可选,沪深300行业指数,2007-07-02,中证指数有限公司,可选消费,
A股指数,399912.ZICN,沪深300消费,沪深300行业指数,2007-07-02,中证指数有限公司,主要消费,
A股指数,399913.ZICN,沪深300医药,沪深300行业指数,2007-07-02,中证指数有限公司,医药卫生,
A股指数,399914.ZICN,沪深300金融,沪深300行业指数,2007-07-02,中证指数有限公司,金融地产,
A股指数,399915.ZICN,沪深300信息,沪深300行业指数,2007-07-02,中证指数有限公司,信息技术,
A股指数,399916.ZICN,沪深300电信,沪深300行业指数,2007-07-02,中证指数有限公司,电信业务,
A股指数,399917.ZICN,沪深300公用,沪深300行业指数,2007-07-02,中证指数有限公司,公用事业,
A股指数,399957.ZICN,沪深300运输,沪深300行业指数,2010-03-17,中证指数有限公司,交通运输,
A股指数,NDX.ZIUS,纳斯达克100指数,全球重要指数,nan,美国纳斯达克证券交易所,纳斯达克100,
A股指数,SPX.ZIUS,标普500,全球重要指数,1957-03-04,标准普尔公司,标普500,
A股指数,850111.ZICN,申万种子生产,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,种子生产,
A股指数,850112.ZICN,申万粮食种植,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,粮食种植,
A股指数,850113.ZICN,申万其他种植业,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,其他种植业,
A股指数,850121.ZICN,申万海洋捕捞,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,海洋捕捞,
A股指数,850122.ZICN,申万水产养殖,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,水产养殖,
A股指数,850131.ZICN,申万林业Ⅲ,申万三级行业指数,2003-10-15,上海申银万国证券研究所有限公司,林业,
