tags_type,1st-level,2nd-level,3rd-level,4th-level
行业,农林渔牧,种植业,种子生产,
行业,农林渔牧,种植业,粮食种植,
行业,农林渔牧,种植业,烟草,
行业,农林渔牧,渔业,海洋捕捞,
行业,农林渔牧,渔业,水产养殖,
行业,农林渔牧,林业,林业产品,
行业,农林渔牧,饲料,,
行业,农林渔牧,农产品加工,果蔬加工,
行业,农林渔牧,农产品加工,粮油加工,
行业,农林渔牧,农产品加工,其他农产品加工,
行业,农林渔牧,农林综合,,
行业,农林渔牧,畜禽养殖,,
行业,农林渔牧,动物保健,,
行业,采掘,石油开采,,
行业,采掘,煤炭开发,煤与消费用燃料,
行业,采掘,煤炭开发,焦炭加工,
行业,采掘,其他采掘,多种金属与采矿,
行业,采掘,采掘服务,油气钻采服务,
行业,采掘,采掘服务,其他采掘服务,
行业,化工,石油与天然气,石油化工,
行业,化工,化学原料,纯碱,
行业,化工,化学原料,氯碱,
行业,化工,化学原料,无机盐,
行业,化工,化学原料,其他化学原料,
行业,化工,化学制品,化肥与农用药剂,氮肥
行业,化工,化学制品,化肥与农用药剂,磷肥
行业,化工,化学制品,化肥与农用药剂,农药
行业,化工,化学制品,化肥与农用药剂,钾肥
行业,化工,化学制品,化肥与农用药剂,复合肥
行业,化工,化学制品,日用化学产品,
行业,化工,化学制品,涂料油漆油墨制造,
行业,化工,化学制品,民爆用品,
行业,化工,化学制品,纺织化学用品,
行业,化工,化学制品,其他化学制品,
行业,化工,化学制品,氟化工及制冷剂,
行业,化工,化学制品,磷化工及磷酸盐,
行业,化工,化学制品,聚氨酯,
行业,化工,化学制品,特种化学制品,
行业,化工,化学制品,玻纤,
行业,化工,化学纤维,涤纶,
行业,化工,化学纤维,维纶,
行业,化工,化学纤维,黏胶,
行业,化工,化学纤维,其他纤维,
行业,化工,化学纤维,氨纶,
行业,化工,塑料,其他塑料制品,
行业,化工,塑料,合成革,
行业,化工,塑料,改性塑料,
行业,钢铁,普钢,,
行业,钢铁,特钢,,
行业,有色金属,金属非金属新材料,金属新材料,
行业,有色金属,金属非金属新材料,磁性材料,
行业,有色金属,金属非金属新材料,非金属新材料,
行业,有色金属,黑色金属,,
行业,有色金属,工业金属,铝,
行业,有色金属,工业金属,铜,
行业,有色金属,工业金属,铅锌,
行业,有色金属,黄金,,
行业,有色金属,稀有金属,稀土,
行业,有色金属,稀有金属,钨,
行业,有色金属,稀有金属,锂,
行业,有色金属,稀有金属,贵重金属与矿石,
行业,电子,半导体,集成电路,
行业,电子,半导体,分立器件,
行业,电子,半导体,半导体产品与设备,
行业,电子,半导体,半导体材料,
行业,电子,元件,印制电路板,
行业,电子,元件,被动元件,
行业,电子,光学光电子,显示器件,
行业,电子,光学光电子,led,
行业,电子,光学光电子,光学元件,
行业,电子,其他电子,,
行业,电子,电子制造,电子系统组装,
行业,电子,电子制造,电子制造服务,
行业,电子,电子制造,电子零部件制造,
行业,汽车,汽车整车,乘用车,
行业,汽车,汽车整车,商用载货车,
行业,汽车,汽车整车,商用载客车,
行业,汽车,汽车零部件,机动车零配件与设备,
行业,汽车,汽车服务,,
行业,汽车,其他交运设备,,
行业,家用电器,白色家电,冰箱,
行业,家用电器,白色家电,空调,
行业,家用电器,白色家电,洗衣机,
行业,家用电器,白色家电,小家电,
行业,家用电器,白色家电,家电零部件,
行业,家用电器,视听器材,彩电,
行业,家用电器,视听器材,摄影产品,
行业,家用电器,视听器材,其他视听器材,
行业,食品饮料,饮料制造,白酒,
行业,食品饮料,食品、饮料与烟草,,
行业,食品饮料,饮料制造,啤酒,
行业,食品饮料,饮料制造,其他酒类,
行业,食品饮料,饮料制造,软饮料,
行业,食品饮料,饮料制造,葡萄酒,
行业,食品饮料,食品加工,肉制品,包装食品与肉类
行业,食品饮料,食品加工,调味发酵品,
行业,食品饮料,食品加工,乳品,
行业,食品饮料,食品加工,食品综合,
行业,纺织服装,纺织制造,毛纺,
行业,纺织服装,纺织制造,棉纺,
行业,纺织服装,纺织制造,丝绸,
行业,纺织服装,纺织制造,印染,
行业,纺织服装,纺织制造,辅料,
行业,纺织服装,纺织制造,其他纺织,
行业,纺织服装,服装家纺,男装,
行业,纺织服装,服装家纺,女装,
行业,纺织服装,服装家纺,休闲服装,
行业,纺织服装,服装家纺,鞋帽,
行业,纺织服装,服装家纺,家纺,
行业,纺织服装,服装家纺,其他服装,
行业,轻工制造,造纸,纸制品,
行业,轻工制造,容器与包装,包装印刷,
行业,轻工制造,家用轻工,家具,
行业,轻工制造,家用轻工,其他家用轻工,居家用品
行业,轻工制造,家用轻工,其他家用轻工,家用器具与特殊消费品
行业,轻工制造,家用轻工,珠宝首饰,
行业,轻工制造,家用轻工,文娱用品,消闲用品
行业,轻工制造,家用轻工,文娱用品,消闲设施
行业,轻工制造,其他轻工制造,个人用品,
行业,轻工制造,其他轻工制造,商业用品,
行业,医药生物,制药,化学制药,化学原料药
行业,医药生物,制药,化学制药,化学制剂
行业,医药生物,中药,,
行业,医药生物,生物科技,生物制品,
行业,医药生物,医药商业,药品贸易,
行业,医药生物,医药商业,医疗保健用品,
行业,医药生物,医药商业,医疗保健提供商与服务,
行业,医药生物,医疗器械,医疗保健设备,
行业,公用事业,电力,火电,
行业,公用事业,电力,水电,
行业,公用事业,电力,燃机发电,
行业,公用事业,电力,新能源发电,能源设备与服务
行业,公用事业,水务,,
行业,公用事业,工业气体,燃气,
行业,公用事业,服用型公用事业,,
