market_type,assets_id,assets_short_cn_name,assets_full_cn_name,party_short_cn_name,party_short_en_name,party_full_cn_name,party_full_en_name,party_url,description,location,founding_time,listing_time,section_tags,stakeholders
美股,A.NYSE,安捷伦科技,安捷伦科技公司,,,安捷伦科技公司,"Agilent Technologies, Inc.",http://www.agilent.com,安捷伦科技公司于1999年5月5日注册成立，是一家测量公司，为通信、电子、生命科学和化学分析等行业提供生物分析、电子测量解决方案。截至2011年10月31日的财年（2011财年），它有三个业务领域：电子测量业务、化学分析业务和生命科学业务。电子测量业务涉及通信、电子等行业。安捷伦化学分析业务主要集中在石油化工、环保、取证和食品安全等行业。生命科学业务集中在制药、生物技术、高校和政府、生物农业和食品安全行业。除了其三大业务，它通过安捷伦技术实验室（安捷伦实验室）进行研究。在2011财年，公司收购A2科技公司、Lab901和Biocius生命科学公司。2011年12月21日，本公司收购生物系统公司的开发业务和PVR（真空泵制造商）。2012年2月，本公司收购了Accelicon技术公司的设备级建模和验证的软件解决方案和技术。2012年6月，本公司收购癌症诊断公司——DAKO。2012年8月，本公司收购了Aurora SFC系统公司。,5301 Stevens Creek Boulevard SANTA CLARA  CA  95051,1999-05-27,1999-11-18,电子,
美股,AA.NYSE,美国铝业,美国铝业公司,,,美国铝业公司,Alcoa Corp.,http://www.alcoa.com,美国铝业公司（Alcoa）简称美铝，现在在美国纽约证券交易所上市。美国铝业公司的总部位于宾夕法尼亚州匹兹堡，业务遍布44个国家。,201 Isabella Street Suite 500 Pittsburgh,2016-03-10,2016-11-01,铝,
美股,AABA.NASDAQ,新雅虎,新雅虎公司,,,新雅虎公司,"Altaba, Inc.",http://www.altaba.com,Verizon收购雅虎核心的互联网业务后，雅虎剩余的资产成立为一家控股公司，名为Altaba。Altaba主要资产包括如下一些部分：阿里巴巴集团15.5%的股份、雅虎日本35.5%的股份。Verizon以44.8亿美元收购雅虎互联网资产的交易正式完成后，雅虎于2017年6月16日正式更名为Altaba，股票代码变为“AABA”。,140 East 45th Street 15th floor New York,,,,
美股,AAL.NASDAQ,美国航空,美国航空集团公司,,,美国航空集团公司,"American Airlines Group, Inc.",http://www.aa.com,"American Airlines Group, Inc. is a holding company, which engages in the operation of a network carrier through its principal wholly-owned mainline operating subsidiary, American. The firm offers air transportation for passengers and cargo. It operates through the following geographical segments: Department of Transportation Domestic; Department of Transportation Latin America; Department of Transportation Atlantic; and Department of Transportation Pacific. The company was founded on December 9, 2013 and is headquartered in Fort Worth, TX.",1 Skyview Drive  Fort Worth,1982-12-31,2013-12-09,航空公司,
美股,AAME.NASDAQ,美国大西洋,美国大西洋,,,美国大西洋公司,Atlantic American Corp.,http://www.atlam.com,"Atlantic American Corp. is an insurance holding company, which engages in the life, health, and property and casualty insurance industries. It operates through the following segments: American Southern, Bankers Fidelity, and Corporate & Other. The American Southern segment operates in the property and casualty insurance market. The Bankers Fidelity segment operates in the life and health insurance market. The Corporate and Other segment is from external sources. The company was founded in 1968 and is headquartered in Atlanta, GA.",4370 Peachtree Road NE  Atlanta,1968-12-31,,保险,
美股,AAON.NASDAQ,艾伦建材,艾伦建材,,,艾伦建材公司,"AAON, Inc.",http://www.aaon.com,AAON公司是一家于1987年8月18日注册成立，从事制造及销售空调和加热设备的公司。该公司的产品包括屋顶机组，冷水机组，空气处理机组，使空中单位，热回收机组，冷凝机组，商用自助载台和线圈。这些产品主要用于商业和工业新建和替换市场。 AAON销售其产品在美国和加拿大的某些省份的50个州均有销售。其营运附属公司包括AAON公司和AAON线圈产品，该公司的屋顶和冷凝器市场包括安装在商业或工业的结构一般小于10层高的单位。它的空气处理机组，自足的商业单位，冷水机组，和线圈适用于各种规模的商业和工业建筑。本公司的主要产成品由一个单一的单元系统，加热，冷却和/或热回收部件在自足柜行业作为单一产品。包括成品冷水机组，线圈，空气处理机组，冷凝机组，使空中单位，热回收机组和商业自足的单位。该公司提供的四组天台单位。该的RQ系列包括六个冷却尺寸从6吨不等; RN系列提供18冷却尺寸从6吨到70吨不等。 RL系列，是提供在15冷却体积范围从40到230吨，和HA系列，它是一个水平的放电包要么提供八种尺寸从七个和一个半〜50吨不等的屋顶或地面安装。该公司还提供SA和SB型号，室内包水冷却单元与2吨到70吨的冷却能力。公司生产的型号LC冷水机，风冷，型号LL冷水机，可在两个风冷冷凝和蒸发冷却3吨到540吨，涵盖一系列配置。其空气处理机组的F1和H3/V3系列的和模块化（M2和M3）系列，以及空气处理机组版本的RN，RL和SA单位组成。其热回收选项适用RQ，RN和RL单位，以及M2和M3系列空气处理。该公司的竞争对手伦诺克斯国际公司，英格索兰有限公司，江森自控公司和美国联合技术公司。,美国奥克拉荷马州塔尔萨宇孔南大道2425,1987-08-18,1991-01-04,建筑材料,
美股,AAPL.NASDAQ,苹果公司,苹果公司,,,苹果公司,"Apple, Inc.",http://www.apple.com,苹果公司成立于1977年1月3日，设计、生产和销售个人电脑、便携式数字音乐播放器和移动通信工具、各种相关软件、辅助设施、外围设备和网络产品等。销售途径多种多样，包括在线商店、零售店、直销、转售和第三方批发等。此外，苹果还销售第三方产品、iPod和iPhone等兼容产品，包括应用软件、打印机、存储装置、音响、耳机和各种配件和外围设备。该公司的产品主要面向教育界、创业者、消费者和商业以及政府用户。苹果公司的个人计算机产品包括桌上型电脑和笔记本电脑、服务器、存储产品、相关设备和外围设备以及各种第三方硬件产品。苹果公司的软件产品和计算机技术包括操作系统、专业应用软件、面向用户、教育和商业的应用软件。音乐产品服务包括iPod系列产品以及在线发行第三方音乐、视频图书、音乐视频、电视剧和电影等。苹果的互联网软件和服务致力于借助并利用互联网推广公司产品和服务。苹果公司的无线联网产品可让你在家中或公司的几乎任何角落上网冲浪。,"1 Infinite Loop Cupertino, CA 95014 United States",1977-01-03,1980-12-12,计算机,
美股,AAWW.NASDAQ,阿特拉斯航空全球控股公司,阿特拉斯航空全球控股公司,,,阿特拉斯环球航空控股公司,"Atlas Air Worldwide Holdings, Inc.",http://www.atlasair.com,阿特拉斯航空全球控股公司提供外包在美国和国际上的飞机和航空运营服务。它的工作包括四个分部：ACMI，AMC宪章，商业宪章，干租赁。该公司还提供提供飞机机组人员培训，维修和保险服务;美军空中机动司令部调度不及包机，以及经纪，游轮运营商，货运代理，直接货主和航空公司以及飞机和/或发动机租赁解决方案。它还分包超大货物和货物到军事冲突的地区小于调度不及任务和飞行一定的飞行。阿特拉斯航空全球运营着一支7架波音747-8F飞机，24架波音747-400全货机，2架波音747-400型客机，5架波音767-200飞机，4架波音Dreamlifters，和2架波音747-400和3架波音767 -300ER型客机。该公司成立于1992年，总部设在纽约购买。,美国纽约普吉士西切司尔特大道 2000,2000-12-31,2006-05-31,运输,
美股,AAXJ.NASDAQ,亚洲ETF,亚洲ETF-iShares MSCI,,,iShares MSCI新兴市场亚洲 ETF,iShares MSCI All Country Asia ex Japan ETF,,,,,,股权,
美股,AB.NYSE,联博,联博控股,,,联博控股有限合伙公司,AllianceBernstein Holding LP,http://www.alliancebernstein.com,"AllianceBernstein Holding LP engages in the provision of research, diversified investment management and related services. It offers investment trusts, mutual funds, hedge funds and other investment vehicles. The company was founded in October 2000 and is headquartered in New York, NY.",1345 Avenue of the Americas  New York,1971-12-31,1988-04-14,资产管理与托管银行,
